Código Actividad SII,Nombre Actividad SII,Código MCC,Nombre MCC,Registrado en restricciones adquirentes
011101,CULTIVO DE TRIGO,763,Cooperativas Agrícolas,763
011101,CULTIVO DE TRIGO,780,"Servicios de horticultura, Servicios de paisajismo",780
011102,CULTIVO DE MAÍZ,763,Cooperativas Agrícolas,763
011102,CULTIVO DE MAÍZ,780,"Servicios de horticultura, Servicios de paisajismo",780
011103,CULTIVO DE AVENA,763,Cooperativas Agrícolas,763
011103,CULTIVO DE AVENA,780,"Servicios de horticultura, Servicios de paisajismo",780
011104,CULTIVO DE CEBADA,763,Cooperativas Agrícolas,763
011104,CULTIVO DE CEBADA,780,"Servicios de horticultura, Servicios de paisajismo",780
011105,"CULTIVO DE OTROS CEREALES (EXCEPTO TRIGO, MAÍZ, AVENA Y CEBADA)",763,Cooperativas Agrícolas,763
011105,"CULTIVO DE OTROS CEREALES (EXCEPTO TRIGO, MAÍZ, AVENA Y CEBADA)",780,"Servicios de horticultura, Servicios de paisajismo",780
011106,CULTIVO DE POROTOS,763,Cooperativas Agrícolas,763
011106,CULTIVO DE POROTOS,780,"Servicios de horticultura, Servicios de paisajismo",780
011107,CULTIVO DE LUPINO,763,Cooperativas Agrícolas,763
011107,CULTIVO DE LUPINO,780,"Servicios de horticultura, Servicios de paisajismo",780
011108,CULTIVO DE OTRAS LEGUMBRES (EXCEPTO POROTOS Y LUPINO),763,Cooperativas Agrícolas,763
011108,CULTIVO DE OTRAS LEGUMBRES (EXCEPTO POROTOS Y LUPINO),780,"Servicios de horticultura, Servicios de paisajismo",780
011109,CULTIVO DE SEMILLAS DE RAPS,763,Cooperativas Agrícolas,763
011109,CULTIVO DE SEMILLAS DE RAPS,780,"Servicios de horticultura, Servicios de paisajismo",780
011109,CULTIVO DE SEMILLAS DE RAPS,5193,"Suministros para floristas, material para viveros y flores",5193
011110,CULTIVO DE SEMILLAS DE MARAVILLA (GIRASOL),763,Cooperativas Agrícolas,763
011110,CULTIVO DE SEMILLAS DE MARAVILLA (GIRASOL),780,"Servicios de horticultura, Servicios de paisajismo",780
011110,CULTIVO DE SEMILLAS DE MARAVILLA (GIRASOL),5193,"Suministros para floristas, material para viveros y flores",5193
011111,"CULTIVO DE SEMILLAS DE CEREALES, LEGUMBRES Y OLEAGINOSAS (EXCEPTO SEMILLAS DE RAPS Y MARAVILLA)",763,Cooperativas Agrícolas,763
011111,"CULTIVO DE SEMILLAS DE CEREALES, LEGUMBRES Y OLEAGINOSAS (EXCEPTO SEMILLAS DE RAPS Y MARAVILLA)",780,"Servicios de horticultura, Servicios de paisajismo",780
