codigo_sii,actividad_sii,mcc,categoria
259300,"FABRICACIÓN DE ARTÍCULOS DE CUCHILLERÍA, HERRAMIENTAS DE MANO Y ARTÍCULOS DE FERRETERÍA",5072,ACCESORIOS Y EQUIPOS DE FERRETERÍA
466302,"VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCIÓN, ARTÍCULOS DE FERRETERÍA, GASFITERÍA Y CALEFACCIÓN",5072,ACCESORIOS Y EQUIPOS DE FERRETERÍA
454002,"VENTA DE PARTES, PIEZAS Y ACCESORIOS DE MOTOCICLETAS",5013,ACCESORIOS Y REPUESTOS DE VEHÍCULOS
910300,"ACTIVIDADES DE JARDINES BOTÁNICOS, ZOOLÓGICOS Y RESERVAS NATURALES",7998,"ACUARIOS, ACUARIOS MARINOS Y ZOOLÓGICOS"
511000,TRANSPORTE DE PASAJEROS POR VÍA AÉREA,4511,AEROLÍNEAS Y TRANSPORTISTAS AÉREOS
512000,TRANSPORTE DE CARGA POR VÍA AÉREA,4511,AEROLÍNEAS Y TRANSPORTISTAS AÉREOS
522300,ACTIVIDADES DE SERVICIOS VINCULADAS AL TRANSPORTE AÉREO,4582,"AEROPUERTOS, AERÓDROMOS Y TERMINALES AÉREOS"
801001,SERVICIOS DE SEGURIDAD PRIVADA PRESTADOS POR EMPRESAS,7393,"AGENCIAS DE DETECTIVES, SERVICIOS DE SEGURIDAD, INCLUIDOS VEHÍCULOS BLINDADOS"
801002,SERVICIO DE TRANSPORTE DE VALORES EN VEHÍCULOS BLINDADOS,7393,"AGENCIAS DE DETECTIVES, SERVICIOS DE SEGURIDAD, INCLUIDOS VEHÍCULOS BLINDADOS"
801003,SERVICIOS DE SEGURIDAD PRIVADA PRESTADOS POR INDEPENDIENTES,7393,"AGENCIAS DE DETECTIVES, SERVICIOS DE SEGURIDAD, INCLUIDOS VEHÍCULOS BLINDADOS"
802000,ACTIVIDADES DE SERVICIOS DE SISTEMAS DE SEGURIDAD (INCLUYE SERVICIOS DE CERRAJERÍA),7393,"AGENCIAS DE DETECTIVES, SERVICIOS DE SEGURIDAD, INCLUIDOS VEHÍCULOS BLINDADOS"
803000,ACTIVIDADES DE INVESTIGACIÓN (INCLUYE ACTIVIDADES DE INVESTIGADORES Y DETECTIVES PRIVADOS),7393,"AGENCIAS DE DETECTIVES, SERVICIOS DE SEGURIDAD, INCLUIDOS VEHÍCULOS BLINDADOS"
781000,ACTIVIDADES DE AGENCIAS DE EMPLEO,7361,AGENCIAS DE EMPLEO
782000,ACTIVIDADES DE AGENCIAS DE EMPLEO TEMPORAL (INCLUYE EMPRESAS DE SERVICIOS TRANSITORIOS),7361,AGENCIAS DE EMPLEO
783000,OTRAS ACTIVIDADES DE DOTACIÓN DE RECURSOS HUMANOS,7361,AGENCIAS DE EMPLEO
829120,ACTIVIDADES DE AGENCIAS DE CALIFICACIÓN CREDITICIA,7321,AGENCIAS DE INFORMES DE CRÉDITO AL CONSUMIDOR
791100,ACTIVIDADES DE AGENCIAS DE VIAJES,4722,AGENCIAS DE VIAJES Y OPERADORES TURÍSTICOS
791200,ACTIVIDADES DE OPERADORES TURÍSTICOS,4722,AGENCIAS DE VIAJES Y OPERADORES TURÍSTICOS
681020,SERVICIOS IMPUTADOS DE ALQUILER DE VIVIENDAS,6513,AGENTES DE BIENES RAÍCES
682000,ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA,6513,AGENTES DE BIENES RAÍCES
949904,CONSEJO DE ADMINISTRACIÓN DE EDIFICIOS Y CONDOMINIOS,6513,AGENTES DE BIENES RAÍCES
551001,ACTIVIDADES DE HOTELES,7011,"ALOJAMIENTO: HOTELES, MOTELES, CENTROS TURÍSTICOS"
551002,ACTIVIDADES DE MOTELES,7011,"ALOJAMIENTO: HOTELES, MOTELES, CENTROS TURÍSTICOS"
551003,ACTIVIDADES DE RESIDENCIALES PARA TURISTAS,7011,"ALOJAMIENTO: HOTELES, MOTELES, CENTROS TURÍSTICOS"
551009,OTRAS ACTIVIDADES DE ALOJAMIENTO PARA TURISTAS N.C.P.,7011,"ALOJAMIENTO: HOTELES, MOTELES, CENTROS TURÍSTICOS"
559001,ACTIVIDADES DE RESIDENCIALES PARA ESTUDIANTES Y TRABAJADORES ,7011,"ALOJAMIENTO: HOTELES, MOTELES, CENTROS TURÍSTICOS"
559009,OTRAS ACTIVIDADES DE ALOJAMIENTO N.C.P.,7011,"ALOJAMIENTO: HOTELES, MOTELES, CENTROS TURÍSTICOS"
920010,ACTIVIDADES DE CASINOS DE JUEGOS,7995,"APUESTAS, CASINOS, LOTERÍA, CARRERAS DE CABALLO"
920090,OTRAS ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS N.C.P.,7995,"APUESTAS, CASINOS, LOTERÍA, CARRERAS DE CABALLO"
931101,HIPÓDROMOS,7995,"APUESTAS, CASINOS, LOTERÍA, CARRERAS DE CABALLO"
771000,ALQUILER DE VEHÍCULOS AUTOMOTORES SIN CHOFER,7512,ARRIENDO DE AUTOMÓVILES
773002,"ALQUILER DE MAQUINARIA Y EQUIPO AGROPECUARIO, FORESTAL, DE CONSTRUCCIÓN E ING. CIVIL, SIN OPERARIOS",7512,ARRIENDO DE AUTOMÓVILES
771000,ALQUILER DE VEHÍCULOS AUTOMOTORES SIN CHOFER,7513,ARRIENDO DE CAMIONES Y REMOLQUES
773001,"ALQUILER DE EQUIPOS DE TRANSPORTE SIN OPERARIO, EXCEPTO VEHÍCULOS AUTOMOTORES",7513,ARRIENDO DE CAMIONES Y REMOLQUES
773002,"ALQUILER DE MAQUINARIA Y EQUIPO AGROPECUARIO, FORESTAL, DE CONSTRUCCIÓN E ING. CIVIL, SIN OPERARIOS",7513,ARRIENDO DE CAMIONES Y REMOLQUES
773009,ALQUILER DE OTROS TIPOS DE MAQUINARIAS Y EQUIPOS SIN OPERARIO N.C.P.,7513,ARRIENDO DE CAMIONES Y REMOLQUES
771000,ALQUILER DE VEHÍCULOS AUTOMOTORES SIN CHOFER,7519,ARRIENDO DE CASAS RODANTES Y VEHÍCULOS RECREATIVOS
522920,AGENCIAS DE NAVES,4457,ARRIENDO DE EMBARCACIONES
773001,"ALQUILER DE EQUIPOS DE TRANSPORTE SIN OPERARIO, EXCEPTO VEHÍCULOS AUTOMOTORES",4457,ARRIENDO DE EMBARCACIONES
772900,ALQUILER DE OTROS EFECTOS PERSONALES Y ENSERES DOMÉSTICOS (INCLUYE MOBILIARIO PARA EVENTOS),7394,"ARRIENDO DE EQUIPOS, HERRAMIENTAS, MUEBLES Y ELECTRODOMÉSTICOS"
773003,"ALQUILER DE MAQUINARIA Y EQUIPO DE OFICINA, SIN OPERARIOS (SIN SERVICIO ADMINISTRATIVO)",7394,"ARRIENDO DE EQUIPOS, HERRAMIENTAS, MUEBLES Y ELECTRODOMÉSTICOS"
773009,ALQUILER DE OTROS TIPOS DE MAQUINARIAS Y EQUIPOS SIN OPERARIO N.C.P.,7394,"ARRIENDO DE EQUIPOS, HERRAMIENTAS, MUEBLES Y ELECTRODOMÉSTICOS"
772200,ALQUILER DE CINTAS DE VIDEO Y DISCOS,7841,ARRIENDO DE PELÍCULAS
772900,ALQUILER DE OTROS EFECTOS PERSONALES Y ENSERES DOMÉSTICOS (INCLUYE MOBILIARIO PARA EVENTOS),7296,"ARRIENDO DE ROPA: DISFRACES, UNIFORMES, ROPA FORMAL"
476103,VENTA AL POR MENOR DE ARTÍCULOS DE PAPELERÍA Y ESCRITORIO EN COMERCIOS ESPECIALIZADOS,5943,ARTÍCULOS DE ESCRITORIO Y ÚTILES ESCOLARES
949909,ACTIVIDADES DE OTRAS ASOCIACIONES N.C.P.,8641,"ASOCIACIONES CÍVICAS, SOCIALES Y FRATERNALES"
900002,"ACTIVIDADES ARTÍSTICAS REALIZADAS POR BANDAS DE MÚSICA, COMPAÑÍAS DE TEATRO, CIRCENSES Y SIMILARES",7929,"BANDAS, ORQUESTAS Y ARTISTAS DIVERSOS (NO CLASIFICADOS EN OTRA PARTE)"
